member_id,name,email,membership_status,address
4310,Essa Brisseau,ebrisseau0@elegantthemes.com,active,16467 Tony Avenue
2224,Chucho Catonne,ccatonne1@uiuc.edu,expired,9104 Ohio Terrace
4416,Klarika Caldwall,kcaldwall2@posterous.com,expired,43 Manufacturers Hill
1882,Vance Swayton,vswayton3@clickbank.net,active,8118 Calypso Park
7118,Yolane McBoyle,ymcboyle4@nbcnews.com,active,47412 Vera Plaza
4985,Atlante Ewart,aewart5@ovh.net,expired,30693 Barnett Way
2326,Millard Rawle,mrawle6@cpanel.net,active,640 Sundown Junction
5723,Cathryn Sunderland,csunderland7@furl.net,active,6 Crownhardt Point
5829,Joanne Griss,jgriss8@google.fr,active,7 Dennis Trail
5042,Giselle Pea,gpea9@1688.com,active,82505 Sullivan Parkway
8095,Jeni Tindall,jtindalla@rediff.com,active,28 Arapahoe Parkway
1280,Sascha Latchmore,slatchmoreb@princeton.edu,active,0212 Graedel Hill
4188,Gay Son,gsonc@cyberchimps.com,active,79 Eastwood Way
2455,Kristy Phelipeaux,kphelipeauxd@cocolog-nifty.com,expired,43892 Butterfield Way
4737,Kettie Plastow,kplastowe@chicagotribune.com,active,0941 Hermina Plaza
8349,Jake Etheredge,jetheredgef@pagesperso-orange.fr,active,06 Dorton Trail
5593,Colly Sherburn,csherburng@qq.com,active,841 Ridgeview Circle
9898,Mimi Calabry,mcalabryh@netvibes.com,active,5 Russell Alley
8358,Sisile Vondrak,svondraki@reference.com,active,218 Old Shore Avenue
3657,Elvin Burdett,eburdettj@indiatimes.com,active,408 Truax Circle
7983,Eldredge Harniman,eharnimank@stanford.edu,suspended,94212 Monterey Junction
6153,Abram Blades,abladesl@narod.ru,active,825 Aberg Road
1533,Ivy Hidderley,ihidderleym@chronoengine.com,active,5 Debs Park
5864,Loren Caltera,lcalteran@yelp.com,active,55879 Prairieview Trail
7695,Yorke Mordey,ymordeyo@barnesandnoble.com,active,681 Tennyson Point
7260,Roi Pipkin,rpipkinp@omniture.com,active,9205 Banding Drive
6145,Farlay Fairbourne,ffairbourneq@ft.com,expired,9369 Raven Point
6644,Anastasie Stening,asteningr@privacy.gov.au,expired,8834 Loeprich Avenue
9167,Magdaia Middup,mmiddups@netvibes.com,active,77 Reindahl Avenue
7319,Erda Pencost,epencostt@noaa.gov,active,8187 Northridge Plaza
6161,Heather Ciubutaro,hciubutarou@slate.com,active,6842 Mendota Trail
2921,Del Dohrmann,ddohrmannv@yahoo.co.jp,active,14 Jana Way
5670,Cristin Porter,cporterw@shareasale.com,active,02 Oriole Point
7791,Mabel Benian,mbenianx@apache.org,active,5712 Oak Valley Circle
5788,Benito Bunclark,bbunclarky@blogs.com,suspended,2 East Way
5636,Bronson Scottrell,bscottrellz@icio.us,active,1 Victoria Parkway
3512,Tonnie Drinkhall,tdrinkhall10@paginegialle.it,active,9 Grasskamp Way
